Country,Firearms,Population,Firearms/100
Turkmenistan,23000.00,5503000.00,0.40
Turks and Caicos Islands,1000.00,35000.00,3.30
Tuvalu,100.00,10000.00,1.20
Uganda,331000.00,41653000.00,0.80
Ukraine,4396000.00,44405000.00,9.90
United Arab Emirates,1569000.00,9398000.00,16.70
United Kingdom,7975000.00,66186000.00,8.30
United States of America,393347000.00,326474000.00,120.50
Uruguay,1198000.00,3457000.00,34.70
Uzbekistan,127000.00,30691000.00,0.40
Vanuatu,11000.00,276000.00,3.90
Venezuela,5895000.00,31926000.00,18.50
Vietnam,1562000.00,95415000.00,1.60
Virgin Islands (U.K.),300.00,31000.00,0.80
Virgin Islands (U.S.),18000.00,107000.00,16.60
Yemen,14859000.00,28120000.00,52.80
Zambia,158000.00,17238000.00,0.90
Zimbabwe,455000.00,16338000.00,2.80
