,country,self-firearm_number,self-other_number,violence-firearm_number,violence-sharp_number,violence-other_number,police_number,unintentional_number,terrorism_number,self-firearm_perc,self-other_perc,violence-firearm_perc,violence-sharp_perc,violence-other_perc,police_perc,unintentional_perc,terrorism_perc,self-firearm_rate,self-other_rate,violence-firearm_rate,violence-sharp_rate,violence-other_rate,police_rate,unintentional_rate,terrorism_rate,country_code,Firearms,Population,firearm-ownership_rate,hf_score,hf_rank,pf_score,pf_rank,ef_score,ef_rank
120,Myanmar,100.7397036172547,3954.719594241236,456.2373296096394,628.5134130928742,427.7792694066559,13406.37791528267,235.1436770598442,5138.000000000001,0.002084256799089848,0.09283502616353749,0.012482013672285772,0.018091341642329103,0.012881817058000742,0.35193235984454796,0.0051630746414680585,0.1544586602142312,1.3786190408512053,50.16560919125217,4.664476878150722,6.699330910962299,5.189354333485579,134.2577804467003,2.6461765040494862,59.14961023904014,MMR,877000.0,54836000.0,1600.0,5.43,146.0,5.12,149.0,5.74,143.0
121,Namibia,28.852174446536512,483.74695755466666,161.37167774690752,387.6030489400727,322.18524053455303,2.6462881013472703,20.51426119952313,1.9999999999999996,0.009991169621807083,0.1696774807776562,0.06844440141499276,0.1618903097458865,0.1293122479843853,0.0012457757065135484,0.0075667576116712695,0.0010400859439285248,12.609928580998565,210.72146201751514,36.88319552921577,82.20372526856889,73.27010495463723,0.6760623936751272,6.904765847076644,0.5346770647572646,NAM,396000.0,2569000.0,15400.0,6.82,89.0,7.23,72.0,6.4,110.0
122,Nauru,0.26415191850344355,4.1316836338974605,0.2415895494783794,0.4033939322203611,0.8754188690988202,0.0025429167523760006,0.044521901543298235,0.0,0.020920819294166833,0.45861222807646534,0.01967203442983974,0.03431969377359608,0.0917860809823774,0.0003459373185220186,0.004867796838046164,0.0,13.971357950239101,266.2729078064995,13.52671007825753,20.04688874897719,52.014167151801686,0.191860850246747,3.5069331371366124,0.0,NRU,0.0,10000.0,0.0,,,,,,
123,Nepal,263.3588485517546,6587.71172091486,60.33687602418042,187.60596181352264,828.2652218696464,11.757336618199915,60.38948914335264,26.0847716,0.014076997977008981,0.40202802089464146,0.0043337912826257015,0.014720564395503268,0.0587629403164468,0.0008586443473671028,0.002780664973329087,0.002008201580103179,5.140561788630923,163.1261229164357,1.3673563087971836,3.4154384489961007,15.701972843412864,0.24809581929757057,3.6317333652637247,0.5442918614547565,NPL,444000.0,29187000.0,1500.0,6.85,87.0,7.11,78.0,6.59,103.0
124,Netherlands,89.34140597635465,3993.2202400825445,74.64492635071376,84.11874773225917,121.34227403015984,3.5550866255394142,5.479397416205604,0.0,0.015111762103147977,0.8110263204684546,0.026851767746659493,0.03565776941912504,0.05043902551253287,0.002085081530837733,0.0021749018074340358,0.0,2.8550996264055772,128.40888754802873,2.044309882010261,2.5081938283420815,4.4637206330701025,0.12723728639172038,0.24826645871356667,0.0,NLD,442000.0,17033000.0,2600.0,8.45,16.0,9.18,9.0,7.72,32.0
125,New Zealand,76.35484815244295,944.3124430984695,13.534686980191289,35.318341077759875,66.5616560272225,1.0581489470377028,5.15576699366131,0.0,0.04211651477112148,0.8846896373657259,0.013391856269765235,0.039961113876641086,0.08156506858540906,0.0015118289790941647,0.005318165060716281,0.0,10.837139282243015,117.41271740850496,1.5212769866252618,4.1132514844370665,8.849692946990128,0.141775486698746,0.7143828724244943,0.0,NZL,1212000.0,4605000.0,26300.0,8.86,1.0,9.24,4.0,8.48,3.0
126,Nicaragua,37.72304064565719,670.7499646389415,365.1102031379477,262.7545345659858,154.20540665308474,1.3723409018462767,39.33629499299169,0.0,0.012309991541788698,0.3546473122699234,0.14872502372417332,0.10682351890094562,0.063512623631303,0.0007827021977927268,0.01693794082094177,0.0,6.027748050064756,77.22565835582637,33.95501806130193,28.693870675772192,21.171113598342743,0.14862026215588361,3.8661860495172733,0.0,NIC,323000.0,6218000.0,5200.0,6.88,83.0,6.63,99.0,7.12,74.0
127,Niger,167.28553314011668,1638.8299463373069,990.1379250657293,1412.3011975033553,1289.704368796079,43.929398263871995,321.67699085179,600.6729620000002,0.011138577218497,0.106459284243684,0.06482271258277576,0.0959485166155801,0.07542376019771678,0.0032945504629389656,0.015256348725640502,0.0412417209576329,15.105893634765748,156.70013671046485,30.15247727000293,59.39745202126619,39.48472968323029,1.32378713750453,23.711736861095797,17.836997156526518,NER,117000.0,21564000.0,500.0,6.03,134.0,6.11,117.0,5.94,136.0
128,Nigeria,904.6211225853078,14507.74466156453,7635.207960216454,10483.730563669462,8753.031233144999,1092.433982590427,2337.98645916457,10153.281222220003,0.0062307533209705,0.0931515164861928,0.05665329022664306,0.0775520213331497,0.057245528488936805,0.009286827382858652,0.0123735158979238,0.08273563629011699,8.309097894482358,149.49468466385156,23.07131150192556,42.8891123561285,27.39018551844245,3.3022259782823324,19.919424503015076,32.11239284434289,NGA,6154000.0,191836000.0,3200.0,6.28,117.0,5.72,132.0,6.83,85.0
129,Niue,0.01739792829043354,0.39119349277368975,0.021645804398462767,0.03421608281176621,0.0867973257189226,0.000409354770496701,0.004337739116076883,0.0,0.012537414282319248,0.4008335980365928,0.017058078691926704,0.02923066279911597,0.08618828955814067,0.0005032043271856521,0.0036072992811790883,0.0,5.572819843987819,158.36255968637212,7.3059801811337755,10.231731159669561,29.965346507784492,0.17693339224847537,1.9126138242106714,0.0,NIU,,,,,,,,,
130,North Macedonia,39.382681401341195,383.8951892003855,49.87000612479429,12.297352584327395,26.568461625384288,0.4560917392879835,4.051543750357057,0.0,0.041351956348068125,0.32343764146201043,0.07157920212649302,0.016238163984415223,0.0316951302742481,0.0012417990257330876,0.007804072994367104,0.0,12.300191432741661,140.05263631242454,10.927326459080666,3.7815760314017446,9.295564541072679,0.13063027534907728,1.2505560727172491,0.0,MKD,,,,7.37,56.0,7.58,58.0,7.15,72.0
131,Northern Mariana Islands,1.0515908845742754,15.49272927657637,0.8785923624609744,0.8060290951848246,3.9055951700381177,0.008746146356530392,0.23302980861291286,0.0,0.02646002999993691,0.5779881634493301,0.024012666165820686,0.024892094606562574,0.13989871513857952,0.00050919866919118,0.010341388299977989,0.0,11.51754988126487,222.74674740125465,10.49926378375633,9.166839474706254,52.597043694983064,0.14552373678511987,5.461782835814244,0.0,MNP,1000.0,56000.0,2600.0,,,,,,
132,Norway,145.40761628608578,982.2895067589288,4.635118537275085,26.060767360245435,31.162527413417777,1.0548765156269353,2.7100015605948964,0.0,0.10104694831007996,0.8507617730868557,0.006635985517744483,0.03478305814076261,0.040640923754827946,0.002111813872993442,0.002935674405526085,0.0,16.203619105180774,99.96877772968499,0.48914326815521525,2.5758742533946855,3.2976205239203193,0.1255112850659729,0.3990398820425784,0.0,NOR,1537000.0,5331000.0,28800.0,8.51,11.0,9.29,3.0,7.72,32.0
133,Oman,3.7618126012647246,228.14211199003148,2.4223720125159227,7.75845104438273,51.991914985253366,7.271804556658035,1.0569027339762054,0.0,0.001884352140203618,0.1211414808839832,0.0014593463852491423,0.004932687748581838,0.026469665166420808,0.003254809643348212,0.0007512294113445685,0.0,1.1156753419771668,41.0906632369792,0.3955656379336604,1.1687357833464298,5.47336845150875,0.6089227958964529,0.30768895395632473,0.0,OMN,792000.0,4741000.0,16700.0,6.0,136.0,5.21,146.0,6.79,87.0
134,Pakistan,1400.0964341028061,32494.997918353583,3295.644578253076,6585.770009234584,16136.480311926558,172.5116642513376,1058.740655747414,2447.510192319999,0.00879072484136018,0.2310948671986734,0.019874128964538905,0.04079424703179965,0.10149102221622748,0.0011701587024960684,0.005537993631344143,0.016987236135593428,3.499058423407433,97.80842465541164,12.031226592779037,17.68277231251585,45.26745730621783,0.47403310059652826,5.41747374250247,7.081789593918151,PAK,43917000.0,196744000.0,22300.0,5.6,140.0,5.31,141.0,5.88,137.0
135,Palau,0.30739593718001657,4.8304744301257605,0.3136347849981507,0.4272494727910851,3.311878089231419,0.006593605531160532,0.07301891109068581,0.0,0.01231455618532367,0.3204346304509273,0.013852865297006047,0.02085850365993106,0.1891306628888725,0.00038205228070662507,0.0035716225369841047,0.0,7.42880007025715,156.94396255552948,8.868807732907271,10.040623747894005,89.38084394630823,0.3369726191116462,2.400180591525139,0.0,PLW,100.0,22000.0,500.0,,,,,,
136,Palestine,5.531777514170897,218.88588124861394,501.08170064300754,40.61346601823053,115.28729777843908,56.3530412379378,66.0548364612697,252.58504879999992,0.0035726124831051247,0.15707871911222882,0.3854362218665368,0.02726325030820994,0.08893747851490492,0.04513573725859212,0.05352037082531881,0.22397635701941274,1.7511445445931144,35.38378902460869,67.52509222950964,6.154600205574036,14.832318159130658,6.737149141422335,7.0827036213137475,34.06119330011068,PSE,56000.0,4952000.0,1100.0,,,,,,
137,Panama,14.475356853861504,365.6420886382513,874.5719622879034,193.13420486971438,153.69986866975648,0.9096731340953035,6.5829746208961,0.0,0.006440935199495026,0.2053858142621904,0.5492822086549611,0.1120395433165884,0.0915531493448263,0.0007685135265818228,0.004398551242235757,0.0,2.8519766464775085,59.06161206943554,100.27501509327273,25.243396912769718,25.459742195842445,0.136770493228794,0.9790033480490696,0.0,PAN,436000.0,4051000.0,10800.0,7.82,43.0,7.86,47.0,7.78,24.0
138,Papua New Guinea,33.5330845906656,519.872250521119,184.588323002365,680.7043763408329,1036.6263421798956,1.7409012827587071,51.871862043707374,0.0,0.0034715733973123834,0.0678781098295136,0.021764395590613703,0.0864483789033242,0.13196976604594526,0.0002468196227805026,0.005618770750989248,0.0,2.295487009857934,43.41807822721048,15.086071911392207,40.836041273077235,61.9631944955129,0.1339294401588697,3.740796219963546,0.0,PNG,79000.0,7934000.0,1000.0,6.68,100.0,6.98,83.0,6.37,112.0
139,Paraguay,167.83474891603035,671.4845403253042,968.7814894239798,458.5736027664487,142.44434410176174,5.1558001884336155,50.94374593788171,0.0,0.0539994263230836,0.2663546664773706,0.2868353861159231,0.1314209652203294,0.0460817951304041,0.0017876702928788044,0.017988121808020768,0.0,18.35484486023663,60.35148188585086,71.96656956824775,37.3434339882231,15.381231615410849,0.3558720390613081,4.368950129919069,0.0,PRY,1140000.0,6812000.0,16700.0,7.08,67.0,6.99,81.0,7.17,70.0
140,Peru,81.33652669638096,1868.6577564845056,1025.4682929804796,472.5912263178651,781.6574931070571,6.757957834961076,653.358653965197,14.00000000000012,0.00641625835619277,0.16646520486301988,0.0844283303123018,0.04197840102024337,0.07592946783200609,0.0006793623848951347,0.053095852377933565,0.001384819079610634,1.5845341202072072,37.24454587853464,14.681608668880786,7.427760555985865,13.408997481709148,0.12177636923930611,10.26874781532553,0.26545400963886917,PER,633000.0,32166000.0,2000.0,7.67,46.0,7.6,57.0,7.73,29.0
141,Philippines,217.14085032015316,8569.03818861828,18037.79535684246,10908.292719494004,2095.620332885587,2222.561266618879,271.9053719190951,4178.106581706426,0.0028032628957174273,0.1347569432078892,0.21791501625592866,0.1456423918878881,0.0326382915155616,0.037397498843193246,0.0036888310869224966,0.08076199131882117,1.4833252163769157,53.23059981710132,88.30237621861134,57.345798689770845,12.65049936819747,10.9330532297261,1.612779848255856,23.017393748006416,PHL,3776000.0,103797000.0,3600.0,6.86,86.0,6.33,112.0,7.39,56.0
142,Poland,123.15255862938791,13225.526528064376,68.47610774689822,384.7163794357181,767.4120006368619,7.890261334743183,35.49761325133503,0.0,0.005773203999419572,0.676425929117459,0.005797036059965902,0.023136776521151384,0.04790347785209049,0.001542858136284297,0.0032810870206835424,0.0,1.8388681587607763,183.9204089571394,0.9019114282353947,4.807449265089069,10.459066203712373,0.1259839113040736,0.5723606778025062,0.0,POL,968000.0,38564000.0,2500.0,7.84,41.0,8.36,37.0,7.31,59.0
